"textID","sentiment","sentiment_id","penman_amr"
"24c92644a4","negative","3","( m / multi-sentence :snt1  ( p / put-01 :ARG1  ( b / bike :poss  ( i / i ) ) :ARG2  ( h / hold-01 ) ) :snt2  ( r / recommend-01 :ARG1  ( k / know-01 :ARG0 i :ARG1  ( t / that ) ) ) :snt3  ( b2  / bummer :mod  ( t2  / total ) :mod  ( a / argh ) ) )"
"43b390b336","neutral","2","( m / multi-sentence :snt1  ( c / check-01 :ARG0  ( i / i ) ) :snt2  ( w / win-01 :ARG0  ( w2  / we ) :polarity - ) )"
"69d6b5d93e","neutral","2","( m / multi-sentence :snt1  ( b / be-located-at-91 :ARG1  ( y / you ) :ARG2  ( p / publication :name  ( n / name :op1 ""twitter"" ) ) ) :snt2  ( b2  / bore-01 :ARG0  ( t / tavern ) :ARG1 y :degree  ( s / so ) :polarity  ( a / amr-unknown ) ) )"
"5c1e0b61a1","negative","3","( m / multi-sentence :snt1  ( a / and :op1  ( b / be-located-at-91 :ARG1  ( i / i ) :ARG2  ( s / state :name  ( n / name :op1 ""VA"" ) ) :purpose  ( w / weekend ) ) :op2  ( t / turn-01 :ARG1  ( p / person :ARG0-of  ( h / have-rel-role-91 :ARG1 i :ARG2  ( s2  / son ) ) :ARG1-of  ( h2  / have-degree-91 :ARG2  ( y / young-01 :ARG1 p ) :ARG3  ( m2  / most ) ) ) :ARG2  ( a2  / age-01 :ARG1 p :ARG2  ( t2  / temporal-quantity :quant 2 :unit  ( y2  / year ) ) ) :time  ( t3  / tomorrow ) ) ) :snt2  ( m3  / make-02 :ARG0 t :ARG1  ( s3  / sad-02 :ARG1 i :degree  ( k / kind ) ) :ARG1-of  ( c / cause-01 :ARG0  ( b2  / big-01 :ARG1 p :degree  ( s4  / so ) ) ) ) :snt3"
"504e45d9d9","negative","3","( m / multi-sentence :snt1  ( c / come-01 :ARG1  ( i / it ) :ARG4  ( o / out :op1  ( s / socket ) ) ) :snt2  ( f / feel-01 :ARG0  ( i2  / i ) :ARG1  ( v / virgin :domain  ( h / hole :poss  ( p / phone :poss i2  ) ) :polarity - ) ) :snt3  ( h2  / have-degree-91 :ARG1  ( i3  / it ) :ARG2  ( l / loose-02 :ARG1 i3  ) :ARG3  ( s2  / so ) ) )"
"ae93ad52a0","negative","3","( a / and :op1  ( h / hot-05 :degree  ( s / so ) :time  ( t / today ) ) :op2  ( d / dislike-01 :ARG1 h ) :op3  ( h2  / hate-01 :ARG0  ( i / i ) :ARG1  ( t2  / timetable :ARG1-of  ( n / new-01 ) ) ) :op3  ( h3  / have-03 :ARG0 i :ARG1  ( w / week :ARG1-of  ( b / bad-07 :degree  ( s2  / such ) ) ) ) )"
"9fce30159a","negative","3","( l / love-01 :ARG0  ( i / i ) :ARG1  ( y / you ) )"
"00d5195223","negative","3","( c / cramp-01 )"
"33f19050cf","positive","1","( c / contrast-01 :ARG1  ( o / or :op1  ( s / say-01 :ARG0  ( y / you :mod  ( a / all ) ) :ARG1  ( h / hi ) ) :op2  ( a2  / answer-01 :ARG0 y :ARG1  ( q / question-01 :ARG0  ( i / i ) ) ) :time  ( y2  / yesterday ) ) :ARG2  ( s2  / song :ARG1-of  ( n / nice-01 ) ) )"
"f7718b3c23","neutral","2","( m / multi-sentence :snt1  ( a / and :op1  ( s / stagnate-01 :ARG1  ( i / i ) :mod  ( s2  / spiritual ) ) :op2  ( e / explode-01 :ARG0 s :ARG1  ( e2  / ego :poss i ) ) ) :snt2  ( r / realize-01 :ARG0 i :ARG1  ( g / great :domain i :degree  ( t / that :mod  ( a2  / all ) ) ) :time  ( n / now ) ) :snt3  ( o / okay-04 :ARG1  ( t2  / that ) :ARG2 i ) )"
"9ef44428d0","negative","3","( m / multi-sentence :snt1  ( s / storm-01 :mod  ( s2  / stupid ) ) :snt2  ( r / river :ARG1-of  ( h / have-03 :ARG0  ( w / we ) :time  ( d / date-entity :dayperiod  ( n / night ) :mod  ( t / today ) ) :polarity - ) ) )"
"be634ebeb0","negative","3","( a / attend-02 :ARG0  ( p / person :ARG0-of  ( h / have-rel-role-91 :ARG1  ( i / i ) :ARG2  ( g / grandpa ) ) :ARG1-of  ( d / die-01 ) ) :ARG1 i :ARG1-of  ( h2  / have-degree-91 :ARG3  ( m / more ) :ARG4  ( y / you ) ) )"
"3dcf4f7e13","negative","3","( m / multi-sentence :snt1  ( n / need-01 :ARG1  ( t / therapy :mod  ( r / retail-01 ) ) :ARG1-of  ( b / bad-07 ) ) :snt2  ( g / give-01 :mode ""imperative"" :ARG0  ( y / you ) :ARG1  ( m2  / money ) :ARG2  ( i / i ) ) )"
"f0ef04109b","neutral","2","( g / go-01 :ARG1  ( i / i ) :ARG4  ( s / sleep-01 :ARG0 i ) :time  ( n / now ) )"
"8be365118e","negative","3","( m / multi-sentence :snt1  ( l / lame-01 :ARG1  ( y / you ) ) :snt2  ( m2  / make-01 :mode imperative :ARG0 y :ARG1  ( b / breakfast :beneficiary  ( i / i ) ) ) )"
"c50bdd4567","positive","1","( c / cool-04 :ARG1  ( t / that ) :degree  ( s / so ) )"
"334954f215","neutral","2","( m / multi-sentence :snt1  ( s / say-01 :ARG0  ( i / i ) :ARG1  ( h / hey ) :ARG2  ( p / person :mod  ( a / all ) ) ) :snt2  ( h2  / hate-01 :ARG0  ( y / you ) :ARG1  ( g / ground-01 :ARG1 y ) :mod  ( j / just ) :polarity - ) :snt3  ( a2  / and :op1  ( e / eat-01 :ARG0 i :ARG1  ( a3  / apple ) ) :op2  ( w / watch-01 :ARG0 i :ARG1  ( a4  / and :op1  ( b / book :name  ( n / name :op1 ""death"" :op2 ""note"" ) ) :op2  ( a5  / anime :mod  ( s2  / some ) ) ) ) :mod  ( j2  / just ) ) )"
"b783916431","neutral","2","( m / multi-sentence :snt1  ( h / hmm :mode ""expressive"" ) :snt2  ( s / sunday :mod  ( a / another ) :purpose  ( c / code-01 :location  ( p / place :name  ( n / name :op1 ""ScarePoint"" ) ) ) ) )"
"1fa8e6ad66","positive","1","( m / multi-sentence :snt1  ( l / look-01 :mode imperative :ARG0  ( y / you ) :ARG1  ( p / person :ARG1-of  ( f / find-01 :ARG0  ( i / i ) :purpose y :mod  ( j / just ) ) ) ) :snt2  ( t / thing :ARG1-of  ( t2  / tweet-01 :ARG0  ( p2  / person :name  ( n / name :op1 ""DJT2009"" ) ) ) ) )"
"be38b29042","negative","3","( m / multi-sentence :snt1  ( c / cool-01 :ARG1  ( a / air ) :polarity - ) :snt2  ( s / swing-01 :ARG1  ( f / fan ) :ARG2  ( w / way :poss  ( w2  / we ) ) :polarity - ) :snt3  ( s2  / sweat-01 :ARG0 w2  :ARG1  ( i / it ) :time  ( d / day :ARG1-of  ( h / hot-05 ) :mod  ( h2  / humid ) ) ) )"
"95701e8ed9","neutral","2","( g / guess-01 :ARG0  ( i / i ) :ARG1  ( d / depend-01 :ARG0  ( t / that ) :ARG1  ( w / want-01 :ARG0  ( y / you ) :ARG1  ( h / have-org-role-91 :ARG0 y :ARG1  ( j / jury ) ) ) ) )"
"4dd58ecd2c","neutral","2","( r / resort-01 :ARG0  ( i / i ) :ARG1  ( e / eat-01 :ARG0 i :ARG1  ( f / food :mod  ( c / company :name  ( n / name :op1 ""Mickey"" :op2 ""Ds"" ) ) ) :mod  ( a / alone ) ) )"
"cf553cccd5","neutral","2","( m / multi-sentence :snt1  ( l / look-01 :ARG0  ( c / chick :mod  ( g / goth ) :mod  ( f / faux ) ) :ARG1  ( i / i ) ) :snt2  ( s / sorry-01 :ARG1 i :ARG2  ( g2  / go-01 :ARG1 i :ARG4  ( p / place :name  ( n / name :op1 ""camden"" ) ) ) ) :snt3  ( l2  / like-01 :ARG0 i :ARG1  ( a / and :op1  ( p2  / punk :mod  ( p3  / pop ) ) :op2  ( b / band :name  ( n2  / name :op1 ""jimmy"" :op2 ""eat"" :op3 ""world"" ) ) ) ) )"
"55c69c2d52","neutral","2","( a / ask-01 :ARG0  ( h / he ) :ARG1  ( o / or :op1  ( t / thing :ARG1-of  ( i / identify-01 :ARG0  ( p / publication :name  ( n / name :op1 ""Twitter"" ) ) :ARG1  ( y / you ) ) ) :op2  ( s / sign :mod  ( s2  / sun ) :domain y ) ) :polarity  ( a2  / amr-unknown ) )"
"9b1a52cc02","neutral","2","( g / go-01 :ARG1  ( y / you ) :ARG4  ( a / amr-unknown ) )"
"cce5c4744a","positive","1","( w / watch-01 :ARG1  ( m / movie :name  ( n / name :op1 ""Body"" :op2 ""of"" :op3 ""Lies"" ) :ARG1-of  ( f / film-01 :ARG1-of  ( g / good-02 ) ) ) )"
"c7f9d559e2","positive","1","( s / say-01 :ARG0  ( i / i ) :ARG1  ( a / and :op1  ( h / happy-01 :ARG1  ( f / festival :name  ( n / name :op1 ""mothers"" :op2 ""day"" ) ) ) :op2  ( l / love-01 :ARG0 i :ARG1  ( y / you ) ) ) :ARG2  ( p / person :name  ( n2  / name :op1 ""mumm"" ) ) )"
"3d2478db59","neutral","2","( m / multi-sentence :snt1  ( c / cause-01 :ARG1  ( n / need-01 :ARG0  ( i / i ) :ARG1  ( a / and :op1  ( p / put-01 :ARG0 i :ARG1  ( l / laptop ) :ARG2  ( d / down ) ) :op2  ( s / start-01 :ARG0 i :ARG1  ( r / ready-01 :ARG1 i :ARG2  ( s2  / shindig ) ) ) ) :ARG1-of  ( r2  / real-04 ) ) ) :snt2  ( c2  / contrast-01 :ARG1 n :ARG2  ( m2  / miss-01 :ARG0 i :ARG1  ( p2  / product :name  ( n2  / name :op1 ""TwitterLoves"" ) :poss i ) :time  ( d2  / day :mod  ( a2  / all ) ) ) ) )"
"6d846d7d50","negative","3","( m / multi-sentence :snt1  ( s / sorry-01 :ARG1  ( i / i ) :ARG1-of  ( r / request-confirmation-91 ) ) :snt2  ( d / date-entity ۓ ""friday"" :mod  ( a /  jp ) :mod  ( a2  /  jp ) :mod  ( a3  /  jp ) :mod  ( a4  /  jp ) :mod  ( a5  /  jp ) :mod  ( a6  /  jp ) :mod  ( a7  /  jp ) :mod  ( a8  /  jp ) :mod  ( a9  /  jp ) :mod  ( a10  /  jp ) :mod  ( a11  /  jp ) :mod  ( a12  /  jp ) :mod  ( a13  /  jp ) :mod  ( a14  /  jp ) :mod  ( a15  /  jp ) :mod  ( a16  /  jp ) :mod  ( a17  /  jp ) :mod  ( a18  /  jp ) :mod  ( a1"
"599f51af6b","negative","3","( f / feel-01 :ARG0  ( i / i :ARG0-of  ( u / use-01 :ARG1  ( p / paper :ARG1-of  ( n / new-01 ) :quant  ( a / around :op1 200 ) ) ) ) :ARG1  ( s / sorry-01 :ARG1 i ) :ARG1-of  ( c / cause-01 :ARG0  ( p2  / print-out-05 :ARG0 i ) ) )"
"87daa62920","negative","3","( m / multi-sentence :snt1  ( h / hear-01 :ARG0  ( i / i ) :ARG1  ( i2  / it ) :time  ( e / ever ) :polarity  ( a / amr-unknown ) ) :snt2  ( b / beat-01 :ARG1  ( p / person :name  ( n / name :op1 ""esti"" ) ) :time  ( a2  / amr-unknown ) ) :snt3  ( t / tweet-01 :ARG0  ( y / you ) :ARG1-of  ( h2  / have-quant-91 :ARG2  ( m2  / much ) :ARG3  ( t2  / too ) ) :polarity  ( a3  / amr-unknown ) ) )"
"6506dc55ff","neutral","2","( m / multi-sentence :snt1  ( f / forget-01 :ARG0  ( i / i ) :ARG1  ( s / something ) :time  ( t / travel-01 :ARG0 i ) :time  ( a / always ) ) :snt2  ( b / be-located-at-91 :ARG1 i :ARG2  ( a2  / airport :name  ( n / name :op1 ""Newark"" :op2 ""Airport"" ) ) ) )"
"746d87f93e","neutral","2","( m / multi-sentence :snt1  ( r / recommend-01 :ARG1  ( a / and :op1  ( l / leave-01 :ARG0  ( i / i ) :ARG1  ( c / car ) ) :op2  ( w / walk-01 :ARG0 i :ARG4  ( h / home ) ) ) ) :snt2  ( p / possible-01 :ARG1  ( n / need-01 :ARG0 i :ARG1  ( s / someone :ARG0-of  ( r2  / rescue-01 :ARG1 i :ARG3  ( p2  / petrol ) ) ) ) ) :snt3  ( f / flash-01 :ARG1  ( l2  / light ) ) )"
"ef7ef8e474","neutral","2","( c / contrast-01 :ARG1  ( u / update-01 :ARG0  ( i / i ) :ARG1  ( t / this ) :mod  ( o / only ) :purpose  ( b / beep-01 :ARG1  ( p / phone :poss  ( p2  / person :name  ( n / name :op1 ""brett"" ) ) ) ) ) :ARG2  ( l / look-01 :ARG0 i :ARG1  ( s / stuff :topic  ( w / wed-01 ) ) :ARG1-of  ( r / real-04 ) :mod  ( a / again ) :time  ( a2  / after :op1  ( n2  / now ) 蟀  ( t2  / temporal-quantity :quant 5 :unit  ( m / month ) ) ) ) )"
"d3d7b13278","positive","1","( m / multi-sentence :snt1  ( h / hi ) :snt2  ( a / agree-01 :ARG0  ( i / i ) ) :snt3  ( r / recommend-01 :ARG1  ( a2  / and :op1  ( r2  / run-01 :ARG0  ( c / child :mod  ( s / small ) ) :ARG1-of  ( h2  / happy-01 ) :location  ( a3  / about ) ) :op2  ( b / break-down-05 :ARG1 c :ARG1-of  ( c2  / cause-01 :ARG0  ( t / tear ) ) :polarity - ) ) ) )"
"ddc07db84e","positive","1","( h / hope-01 :ARG0  ( i / i ) :ARG1  ( h2  / have-03 :ARG0  ( y / you ) :ARG1  ( f / fun-01 :ARG0 y ) :location  ( c / club ) ) )"
"67afe60d31","neutral","2","( m / multi-sentence :snt1  ( m2  / miss-01 :ARG0  ( i / i ) :ARG1  ( p / phone :mod  ( o / old ) :ARG1-of  ( w / work-01 :ARG1-of  ( g / good-02 :degree  ( s / so ) ) :time  ( u / until :op1  ( d / drop-01 :ARG0 i :ARG1 p ) ) ) ) ) :snt2  ( w2  / want-01 :ARG0 i :ARG1  ( p2  / phone :ARG1-of  ( n / new-01 ) ) :purpose  ( b / birthday :poss i ) ) )"
"17d18ba9ef","positive","1","( t / think-01 :ARG0  ( i / i ) :ARG1  ( w / wonderful-02 :ARG1  ( c / country :name  ( n / name :op1 ""SG"" ) ) ) )"
"ab57d75f20","negative","3","( m / multi-sentence :snt1  ( s / sorry-01 :ARG1  ( i / i ) :degree  ( r / really ) ) :snt2  ( k / know-01 :ARG0 i :ARG1  ( t / thing :ARG1-of  ( f / feel-01 :ARG0  ( y / you ) ) ) ) :snt3  ( l / life :mod  ( t2  / this ) :mod  ( s2  / shit ) ) )"
"f0acd25d8e","negative","3","( h / happy-01 :ARG1  ( i / i ) :polarity - )"
"cf3b068b03","neutral","2","( m / multi-sentence :snt1  ( a / and :op1  ( l / love-01 :ARG1  ( w / watch-01 :ARG1  ( p / perform-01 :mod  ( a2  / acoustic ) ) ) ) :op2  ( w2  / want-01 :ARG1  ( e / episode :mod  ( g / good-02 ) :domain  ( s / show :name  ( n / name :op1 ""Friends"" ) ) ) ) ) :snt2  ( m2  / miss-01 :ARG0  ( i / i ) :ARG1  ( s2  / show :mod  ( t / that ) ) ) )"
"d6c34fa875","neutral","2","( o / oscillate-01 :ARG1  ( i / i ) :ARG3  ( o2  / one ) :ARG4  ( o3  / other ) )"
"614aed9113","negative","3","( a / and :op1  ( t / tire-01 :ARG1  ( i / i ) :degree  ( s / so ) ) :op2  ( h / have-03 :ARG0 i :ARG1  ( i2  / insomnia ) ) )"
"dfa577d3c1","positive","1","( t / thank-01 :ARG0  ( i / i ) :ARG1  ( p / person :name  ( n / name :op1 ""Ennio"" ) ) )"
"10dcbe4dfb","neutral","2","( r / recommend-01 :ARG1  ( a / and :op1  ( c / come-01 :ARG1  ( y / you ) :purpose  ( g / get-01 :ARG0 y :ARG1  ( i / i ) ) ) :op2  ( b / bring-01 :ARG0 y :ARG1 i :ARG2  ( h / house :poss  ( p / person :name  ( n / name :op1 ""kelslaws"" ) ) ) ) ) :ARG2 y :mod  ( t / total ) )"
"a0bfb12773","positive","1","( a / and :op1  ( s / seem-01 :ARG1  ( n / nice-01 :ARG1  ( y / you ) ) ) :op2  ( g / generous-01 :ARG0 y ) :op3  ( k / know-01 :ARG0 y :ARG1  ( s2  / stuff :poss y ) ) )"
"71f4a9b495","neutral","2","( m / multi-sentence :snt1  ( s / dirty-02 :ARG1  ( y / you ) :degree  ( s2  / so ) ) :snt2  ( c / cause-01 :ARG0  ( a / amr-unknown ) :ARG1  ( p / pick-01 :ARG0  ( i / i ) :ARG1  ( t / team :name  ( n / name :op1 ""Hawks"" ) ) ) ) :snt3  ( a2  / and :op1  ( f / figure-01 :ARG0 i :ARG1  ( n2  / need-01 :ARG0 i :ARG1  ( s3  / shot :ARG1-of  ( l / long-03 ) ) ) ) :op2  ( b / bet-01 :ARG1 t :ARG1-of  ( h / have-degree-91 :ARG2  ( g / good-02 :ARG1 b ) :ARG3  ( m2  / more ) :ARG4  ( t2  / team :name  ( n3  / name :op1 ""CAR"" ) ) ) ) ) )"
"d33ed264b3","neutral","2","( c / contrast-01 :ARG1  ( g / get-01 :ARG1  ( k / kitty ) :mod  ( a / almost ) :time  ( y / yesterday ) ) :ARG2  ( w / work-out-02 :ARG1 g :polarity - ) )"
"77f88ea9e2","neutral","2","( m / multi-sentence :snt1  ( n / need-01 :ARG0  ( r / reality ) :ARG1  ( c / check-in-02 :ARG0 r ) ) :snt2  ( s / school :mod  ( o / over ) ) :snt3  ( t / time :purpose  ( p / party-01 ) :ARG1-of  ( c2  / contrast-01 ) ) :snt4  ( g / go-01 :ARG1  ( i / i ) :ARG4  ( b / bed ) :time  ( n2  / night ) ) )"
"fe1deac869","positive","1","( m / multi-sentence :snt1  ( w / way :ARG1-of  ( n / nice-01 :mod  ( d / definite ) ) :purpose  ( s / spend-01 :ARG1  ( d2  /  ডিজি :value ""sunday"" ) ) :domain  ( p / park :name  ( n2  / name :op1 ""caladesi"" ) ) ) :snt2  ( g / get-01 :ARG0  ( i / i ) :ARG1  ( t / tan-01 :mod  ( l / little ) ) ) )"
"e591a725ef","neutral","2","( k / know-01 :ARG0  ( i / i ) :ARG1  ( t / thing :ARG1-of  ( d / do-02 :ARG0  ( w / we ) ) ) :mod  ( s / still ) :discourse-marker ""though"" )"
"2dbb28cc29","neutral","2","( m / multi-sentence :snt1  ( s / string-entity :value ""dang it"" ) :snt2  ( s2  / sure-02 :ARG1  ( i / it ) :polarity  ( a / amr-unknown ) ) :snt3  ( o / okay-04 :ARG1  ( y / you ) :polarity  ( a2  / amr-unknown ) ) )"
"a7e4ad250a","neutral","2","( m / multi-sentence :snt1  ( c / change-01 :ARG1  ( p / plan-01 ) ) :snt2  ( s / stay-01 :ARG1  ( i / i ) :location  ( c2  / city :name  ( n / name :op1 ""Brandon"" ) ) ) :snt3  ( s2  / salad :mod  ( f / food-dish :name  ( n2  / name :op1 ""Papaya"" :op2 ""Salad"" ) ) :beneficiary i :polarity - ) )"
"7d87899024","negative","3","( m / multi-sentence :snt1  ( s / suck-01 :ARG0  ( y / you ) :mod  ( d / dear ) ) :snt2  ( o / obligate-01 :ARG1  ( i / i ) :ARG2  ( c / change-01 :ARG0 i :ARG1  ( p / plan-01 :ARG0 i :purpose  ( n / night :mod  ( t / today ) ) ) ) :time  ( n2  / now ) ) )"
"461b51fa58","neutral","2","( m / multi-sentence :snt1  ( b / be-located-at-91 :ARG1  ( a / and :op1  ( i / i ) :op2  ( p / person :ARG1-of  ( l / love-01 :ARG0 i ) ) ) :ARG2  ( c / company :name  ( n / name :op1 ""starbucks"" ) ) ) :snt2  ( s / school :mod  ( f / fuck-01 ) ) :snt3  ( w / work-01 :ARG0 i :time  ( a2  / after ) :mod  ( t / too ) ) )"
"c31d79c440","negative","3","( m / multi-sentence :snt1  ( c / cry-01 :ARG0  ( i / i ) :ARG1-of  ( c2  / cause-01 :ARG0  ( w / watch-01 :ARG0 i :ARG1  ( b / broadcast-program :name  ( n / name :op1 ""hollyoaks"" ) ) ) ) :mod  ( j / just ) ) :snt2  ( n2  / need-01 :ARG0 i :ARG1  ( l / life ) ) :snt3  ( l2  / laugh-01 :ARG0 i :mod  ( l3  / loud ) ) )"
"32ee7ef6c2","positive","1","( m / multi-sentence :snt1  ( s / say-01 :ARG0  ( i / i ) :ARG1  ( h / hi ) :ARG2  ( a / all ) ) :snt2  ( a2  / and :op1  ( r / recover-01 :ARG1 i :ARG2  ( p / party-01 ) :mod  ( j / just ) ) :op2  ( l / look forward-01 :ARG0 i :ARG1  ( h2  / holiday :mod  ( b / bank ) :ARG0-of  ( e / excite-01 ) :location  ( a3  / around :op1  ( s2  / shop :mod  ( d / do-it-yourself ) ) ) ) ) ) :snt3  ( p2  / possible-01 :ARG1  ( g / get-01 :ARG0  ( l2  / life ) :ARG1  ( h3  / have-degree-91 :ARG1 l2  :ARG2  ( g2  / good-02 :ARG1 l2  ) :ARG3  ( m2  / more :quant  ( m3  / much ) ) ) ) :ARG1-of  ( s3  / sure-02 ) ) )"
"29f805a7d2","neutral","2","( b / by :op1  ( i / i ) :op1  ( m / movie :name  ( n / name :op1 ""Terminator"" :op2 ""Salvation"" ) ) )"
"d41fe360e4","negative","3","( m / multi-sentence :snt1  ( c / cause-01 :ARG0  ( l / lose-02 ) ) :snt2  ( c2  / contrast-01 :ARG1  ( h / he ) :ARG2  ( y / you :polarity - ) ) :snt3  ( d / do-02 :ARG0  ( y2  / you ) :ARG1  ( a / amr-unknown ) :time  ( w / weekend ) ) :snt4  ( w2  / want-01 :ARG0  ( i / i ) :ARG1  ( s / see-01 :ARG0 i :ARG1 y2  ) ) )"
"a04c8c8695","neutral","2","( c / cause-01 :ARG0  ( a / amr-unknown ) :ARG1  ( o / obligate-01 :ARG1  ( i / i ) :ARG2  ( e / enter-01 :ARG0 i :ARG1  ( d / detail :topic  ( r / register-02 :ARG0 i ) ) :time  ( u / update-01 :ARG0 i :mod  ( e2  / every ) ) ) ) )"
"25e42b2bf2","positive","1","( m / multi-sentence :snt1  ( c / cause-01 :ARG1  ( p / possible-01 :ARG1  ( b / be-with-01 :ARG0  ( i / i ) :ARG1  ( y / you ) ) :polarity - ) :time  ( d / date-entity 월 ) ) :snt2  ( l / love-01 :ARG0  ( i2  / i ) :ARG1 y ) )"
"5843d17b1d","positive","1","( m / multi-sentence :snt1  ( c / cute-01 :ARG1  ( y / you ) :degree  ( s / so ) ) :snt2  ( f / fan :domain  ( i / i ) :topic  ( a / and :op1  ( m2  / music :name  ( n / name :op1 ""Dream"" :op2 ""A"" :op3 ""Little"" :op4 ""Dream"" ) ) :op2  ( m3  / music :name  ( n2  / name :op1 ""This"" :op2 ""Kiss"" ) ) :op3  ( a2  / appear-01 :ARG1-of  ( r / resemble-01 :ARG2  ( s2  / show :name  ( n3  / name :op1 ""Dawson's"" :op2 ""Creek"" ) ) ) ) ) ) :snt3  ( m4  / make-01 :mode imperative :ARG0  ( y2  / you ) :ARG1  ( f2  / flick :quant  ( m5  / more ) ) ) )"
"474d10ff48","neutral","2","( m / multi-sentence :snt1  ( r / right-06 :ARG1  ( t / thing :value ""TGIF"" ) ) :snt2  ( t2  / think-01 :ARG0  ( i / i ) :ARG1  ( b / break-01 :ARG0 i :ARG1  ( t3  / toe :part-of i ) :location  ( f / foot :poss i :ARG1-of  ( b2  / bad-07 ) ) :time  ( d / date-entity :dayperiod  ( n / night ) :mod  ( l / last ) ) ) ) )"
"38e69da3a1","neutral","2","( m / multi-sentence :snt1  ( h / have-degree-91 :ARG1  ( t / this ) :ARG2  ( s / soon ) :ARG3  ( m2  / more ) ) :snt2  ( p / plan-01 :ARG0  ( y / you ) :polarity  ( a / amr-unknown ) ) :snt3  ( h2  / have-03 :ARG0  ( i / i ) :ARG1  ( p2  / party ) :time  ( d /  दिनांक :mod  ( t2  / this ) ) ) )"
"972dc5787d","positive","1","( l / look-02 :ARG0  ( y / you :mod  ( d / dude ) ) :ARG1  ( y2  / young :degree  ( v / very ) ) )"
"0ba6aaf9aa","negative","3","( m / multi-sentence :snt1  ( l / link :ARG1-of  ( w / wrong-04 ) ) :snt2  ( i / ignore-01 :mode imperative :ARG0  ( y / you ) :ARG1  ( t / tweet-01 :ARG0  ( i2  / i ) ) ) )"
